contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MSFT250919P00467500,2025-09-16 19:46:18+00:00,467.5,0.1,0.0,0.0,0.0,0.0,17.0,262,0.2500075,False,REGULAR,USD
MSFT250919P00470000,2025-09-16 19:59:07+00:00,470.0,0.11,0.0,0.0,0.0,0.0,343.0,3065,0.2500075,False,REGULAR,USD
MSFT250919P00472500,2025-09-16 19:51:18+00:00,472.5,0.12,0.0,0.0,0.0,0.0,384.0,1018,0.12500875,False,REGULAR,USD
MSFT250919P00475000,2025-09-16 19:54:58+00:00,475.0,0.13,0.0,0.0,0.0,0.0,511.0,4154,0.12500875,False,REGULAR,USD
MSFT250919P00477500,2025-09-16 19:20:07+00:00,477.5,0.16,0.0,0.0,0.0,0.0,212.0,549,0.12500875,False,REGULAR,USD
MSFT250919P00480000,2025-09-16 19:59:07+00:00,480.0,0.19,0.0,0.0,0.0,0.0,1354.0,5365,0.12500875,False,REGULAR,USD
MSFT250919P00482500,2025-09-16 19:55:19+00:00,482.5,0.24,0.0,0.0,0.0,0.0,399.0,411,0.12500875,False,REGULAR,USD
MSFT250919P00485000,2025-09-16 19:59:18+00:00,485.0,0.29,0.0,0.0,0.0,0.0,685.0,5030,0.12500875,False,REGULAR,USD
MSFT250919P00487500,2025-09-16 19:44:20+00:00,487.5,0.38,0.0,0.0,0.0,0.0,491.0,1165,0.12500875,False,REGULAR,USD
MSFT250919P00490000,2025-09-16 19:59:54+00:00,490.0,0.5,0.0,0.0,0.0,0.0,1097.0,10843,0.12500875,False,REGULAR,USD
MSFT250919P00492500,2025-09-16 19:59:55+00:00,492.5,0.66,0.0,0.0,0.0,0.0,1080.0,1459,0.062509375,False,REGULAR,USD
MSFT250919P00495000,2025-09-16 19:59:53+00:00,495.0,0.87,0.0,0.0,0.0,0.0,1943.0,5478,0.062509375,False,REGULAR,USD
